Name,Mentions,Writer
Mihaela L. Marculescu ,1,0
Lucas Chu,1,0
Jeremiah H. Kim,1,0
Maya E. Woods-Arthur,1,0
Demi Snyder,1,0
Kazi Tasnim,1,0
Hannah A. Eckstein,1,0
Jaylen C. Wang,1,0
Thor Larson,1,0
Eric D. Sun,1,0
Beau Bayless,1,0
Yaraslau Slavikouski,1,0
Marilynn Miguel,1,0
James U. Joyce,1,0
Galadriel A. Coury,1,0
David J. Moon,1,1
Joyce Kang,1,0
Charles G. Onesti,1,0
Margot E. Shang,1,1
Sahara W. Kirwan,1,1
Matthew J. Tyler,1,1
Andrew W. D. Aoyama,1,1
Darius Atefat-Peckham,1,0
Allison K. T. Tu,1,0
Florian Bochert,1,0
Nadine Jackson,1,0
Alejandro C. Eduarte,1,0
Emily G. Lopez,1,0
Alden Fossett,1,0
Alexandra C. Chaidez,1,1
Connor Dowd,1,1
Lynne A. Sipprelle,1,0
Sarah S. Yoon,1,1
Vivekae M. Kim,1,1
Britney S. Vongdara,1,0
Vivekae Kim,1,1
Kaitlin Hao,1,0
Jonathan C. Luo,1,0
Ivan Jara-Marquez,1,1
Michael G. Isakov,1,0
Akash Bagaria,1,0
Artea Brahaj,1,1
James Conant,1,0
Michael L. Zhang,1,0
Taisa Kulyk,1,0
Phoebe M. Fallon,1,0
Jeromel D. Lara,1,1
Alexander L. Chen,1,0
Haneul H. Shin,1,0
Sophia S. Liang,1,1
Julie R. Hartman,1,1
Melody Wang,1,0
Yoseph D. Boku,1,0
Matt R. Thomas,1,0
Spencer C. Rolland,1,0
Monica Y. Chang,1,0
Derek E. Schaedig,1,1
Maya H. Counter,1,0
Drew L. Cheng,1,1
Olivia S. Graham,1,1
Mitchell Saron,1,0
Maria Theodore,1,0
Kenji Bravo,1,0
Filip Dolegiewicz,1,0
Ifeoluwani E. Omidiran,1,1
Richard B. Reid,1,0
Elijah J. Suh,1,0
Evangelos Kassos,1,0
Tucker R. Boynton,1,0
Demya T. Toogood,1,0
Michael J. Shafer,1,0
Shirley Chen,1,0
Fredericka Lucas,1,0
Kylie Hilton,1,0
Mari Jones,1,0
Darlene Fung,1,0
Lily Brunelle,1,0
Annabel Hagen,1,0
Lauren H. Yang,1,1
Jenny H. Gan,1,0
Jonathan Zhang,1,0
Sahaj Singh,1,0
Jacob Johnson,1,0
Jaclyn L. Corin,1,0
Duncan O. Glew,1,0
Rosalind A. DeLaura,1,0
Sophia Sizhe Liang,1,1
Sreekar Mantena,1,0
Sebastian Revel,1,0
Rajvir Batra,1,0
Noah A. Harris,1,0
Sam M.S. Welsh,1,0
Paige G. Coolidge,1,0
Malia Marks,1,0
Isabella R. Beckett,1,0
Romy Aran,1,0
Anna Peng,1,0
Olga Kiyan,1,0
Zach R. Fraley,1,0
Becca H. Amesbury,1,0
Samantha Meade,1,1
Natalie Needle,1,0
Amanda C. Yang,1,0
Mahalia G. Mathelier,1,0
Maranda Ngue,1,1
Riley S. Hoffman,1,0
Eric Olvera,1,0
Satoshi Yanaizu,1,0
Noah N. Furlonge-Walker,1,0
Abbe E. Goldstein,1,0
Justin Chan,1,0
Lucas P. Pao,1,0
Alexander C. Chen,1,0
Peyton S. Williams,1,0
Fatima Shahbaz,1,0
Karthik K. Rao,1,0
Jeffrey R. “Jeff” Prince,1,0
Chihiro Ishikawa,1,0
Kevin Wang,1,0
Taruna Singh,1,0
Kristen A. Harriott,1,0
Naomi Davy,1,0
Caleb A. Ren,1,0
Alan R. Dai,1,1
Karen Y. Chen,1,0
Travis Johnson,1,0
John T. Hatcher,1,0
Mubeen A. Momodu,1,0
Jerry W. Registre,1,0
Anne M. Foley,1,0
Travis A. Johnson,1,0
Nadine S. Bahour,1,1
Nour Abou-Hussein,1,0
Tania Veltchev,1,0
Jennifer Baker,1,0
Rothsaida Sylvaince,1,0
Brandon J. Demkowicz,1,1
Mira S. Becker,1,0
Scott P. Mahon,1,1
Beejay E. Odufuwa,1,0
Olivia M. Hall,1,1
Lavanya Singh,1,0
Jenny J. Yoon,1,0
Brammy Rajakumar,1,1
Anne J. Lheem,1,0
Corine Chung,1,0
Harrison R. T. Ward,1,0
Jeffrey R. Prince,1,0
Katrina J. Hon,1,0
Dylan Y. Hu,1,0
Albert Zhang,1,0
Bill Zhang,1,0
Christina Yee ,1,0
Alexandria R. King,1,0
Albert W. Zhang,1,0
Laila A. Nasher,1,1
Kendall I. Shields,1,0
Justin Tseng,1,0
Pranay B. Tankala,1,0
Claire Y. Shi,1,0
Natalie V. Dabkowski,1,0
Elliot C. Parlin,1,0
Richard Lin,1,0
Alec Sun,1,0
Hannah J. Ellery,1,0
Annie Zhao,1,0
William W. Ho,1,0
Asher M. Spector,1,0
Jennifer Chen,1,0
Sadaf T. Khan,1,0
Tomasz Cienkowski,1,0
Katherine Lou,1,0
Lara M. Teich,1,0
James R. Mason,1,0
James N. Garavito,1,0
Celine Cuadra,1,0
Hannah J. Martinez,1,1
Natalie L. Kahn,1,1
Jing-Jing Shen,1,1
Aidan R. Gibbons,1,0
Allegra Rollo,1,0
McKenna C. Reale,1,0
Ryan K. Kim,1,1
Jacob V. Ajit,1,0
Michel B. R. Nehme,1,0
Caitlin A. Beirne,1,0
Ruth H. Jaensubhakij ,1,0
Alexander J. Chen,1,1
Angela Y. Zhong,1,0
Jacky Q. Huang,1,0
A.J. Dilts,1,1
Smith Hunter,1,0
Ainsley Ahmadian,1,0
Taylor Fasnacht,1,0
Anna Karpenko,1,0
Hannah Bebar,1,0
Cayla McFarlane,1,0
Ruth H. Jaensubhakij,1,0
Henry A. Villarreal,1,0
Keanu V. Gorman,1,0
Michel B.R. Nehme,1,0
Hana M. Kiros,1,1
Jonathan L. Katzman,1,1
Ari E. Benkler,1,1
Gemma S. Schneider,1,0
Marcus B. Montague-Mfuni,1,1
Daniel L. Aklog,1,1
Chloe A. Shawah,1,1
Aysha L. J. Emmerson,1,1
Eric Zheng,1,0
Janna E. Ramadan ,1,0
Luz A. Ramirez-Ramirez,1,0
Uzo L. Ngwu,1,0
Alma H. Conway,1,0
Jenny M. Lu,1,1
Hannah L. Cole,1,0
William Z. Shen,1,0
Nidhi Patel,1,1
Allison S. Barker,1,1
Samantha M. Galvin,1,0
Robert F. Greene,1,0
Derrick T. Ochiagha,1,1
Shavonna E. Jackson,1,0
Jordan G. Hill,1,0
Abdullah M. Bannan,1,0
Sahana Srinivasan,1,0
LyLena Estabine,1,0
Jesper Andersson,1,1
Kendrick Foster,1,0
Joshua S. S. Archibald,1,1
