Name,Mentions,Writer
Matthew Mu,4,0
Kevin L. Ballen,4,0
Alexis J. Boo,4,1
Phoebe H. Suh,4,1
Vivien L. Tran,4,1
Ashley Wang,4,0
Yousuf Bakshi,4,0
Janna E. Ramadan,4,0
David Y. Zhang,4,0
Gabrielle T. Langkilde,4,1
Alan Yim,4,0
Michael Zhu,4,0
Ryan Siedem,4,0
Samantha J. Meade,4,1
Stephanie H. Ashkar,4,1
Eliot Min,4,1
Oliver S. York,4,1
Andrea J. Zhang,4,0
Amy Y. Zhang,3,0
Zeth Dean,3,0
Connor Sakmar,3,0
Will Robbins,3,0
James Bryant Conant,3,0
Tessa Medrano,3,0
Kanishk A. Mittal,3,1
Davis J. Tyler-Dudley,3,0
Leon Yang,3,0
Hank Sparks,3,0
Christie A. Jackson,3,0
Michelle Owens,3,0
Romil A. Sirohi,3,0
Anthony P. Monaco,3,0
Justin Zhu,3,0
Lisette Leon,3,0
Hank R. Sparks,3,0
Jaycee Yegher,3,0
Swathi R. Srinivasan,3,0
Olivia K. Bryant,3,0
Olivia Price,3,0
Richard M. Sweeney,3,0
Lydia Pan,3,0
Bill W. Zhang,3,0
Tessa Queri,3,0
Jack Mahala,3,0
Injil Muhammad,3,0
Enzo Stefanoni,3,0
Tony Shu,3,0
Bobae C. Johnson,3,1
Andrew Castillo,3,0
Tauheed Z. Islam,3,1
Noah B. Ramos,3,0
Isaiah O. Michalski,3,0
Jacqueline F. Tubbs,3,0
Drake E. Johnson,3,0
Hana Moataz,3,0
Amina Yousry,3,0
Ria Modak,3,0
Kevin L. Bi,3,1
Kai R. McNamee,3,0
Arielle Blacklow,3,0
Jasmine N. Hyppolite,3,1
Jada Jones,3,0
Alice H. Chen,3,0
William C. Boggs,3,1
Erica Jarrell,3,0
Fahedur Fahed,3,0
Mohamed Ahmed,3,0
Shivani R. Aggarwal,3,0
Jane Z. Li,3,1
Madison Conklin,3,0
Alexis M. Mealey,3,0
Connor W.K. Brown,3,1
Harrison Stovern,3,0
Michael B. Baick,3,0
Lily Gao,3,0
Cassidy Bargell,3,0
David Zhu,3,0
Martin Vician,3,0
Matej Cerman,3,0
Ethan J. Johnstone,3,0
Pallas Chou,3,0
Gabe Putnam,3,0
Achele Agada,3,0
Gabrielle Fernandopulle,3,0
Mihaela Marculescu,3,0
Peter L. Laskin,3,0
Jessica A. Boutchie,3,0
Mike Doggett,3,0
Luka Sakota,3,0
Justin Y. Tseng,3,0
Felicia Pasadyn,3,0
Natalie F. Needle,3,0
Alexander S. “Sandy” Koenig,3,0
Clara Nguyen,3,1
Analli C. Torres,3,0
Ross D. Simmons,3,0
Jordan H. Barton,3,0
Marcus M. Trenfield,3,0
Evelyn Wong,3,1
Ifeoma E. White-Thorpe,3,1
Hannah Miller,2,0
Jamila M. Coleman,2,1
Yara Shahidi,2,0
Alexander N. Lee,2,0
William Brown,2,0
Ida M. Paul,2,0
Andrew Lee,2,0
Luke Stevens,2,0
Harshita Gupta,2,1
Jason Shen,2,0
Tony Bennett,2,0
Francis J. Doyle,2,0
Nick Azar,2,0
Braeden J. Foldenauer,2,0
Jessica S. Edwards,2,0
Nirav R. Sookhai,2,0
Amy E. Zhou,2,0
Jordan M. Silva,2,0
Luke J. Kenworthy,2,0
Emma L. Robertson,2,0
Rachel Y. Hong,2,0
Kelvin Apari,2,0
Hossam M. Mabed,2,0
Emily M. Lu,2,1
Alice Chen,2,0
Malcolm J. Reid,2,0
Starr H. Rhee,2,0
Grace E. Sullivan,2,0
Emma V. Stimpfl,2,0
Alexander S. Koenig,2,1
Annabelle Paterson,2,0
Owen Holt,2,0
Claire Hotchkin,2,0
Emily Johns,2,0
Yashvardhan M. Bardoloi,2,0
Cassandra Kane,2,0
Olivia A. Sison,2,0
Audrey E. Pettner,2,0
Sophia M. F. Higgins,2,1
Ingrid Wall,2,0
Benjamin P. Wenzelberg,2,0
Eva K. Rosenfeld,2,1
Mirielle E. Wright,2,0
Frank M. Cahill,2,1
Anum Shafqat,2,0
Aba A. Sam,2,0
Hunter D. Mollett,2,0
James Swartz,2,0
Frankie Tangredi,2,0
Julio A. Perez,2,0
Jilly Cronin,2,0
Lorenzo F. Manuali,2,1
Adrien Thein-Sandler,2,0
Jonathan V. Garzon,2,0
